,lat,lon,State,City
1,47.2151,-123.1007,WA,Shelton
2,46.2305,-119.0922,WA,Pasco
3,49.0001,-122.2649,WA,Sumas
4,47.1718,-122.5185,WA,Lakewood
5,46.2087,-119.1199,WA,Kennewick
6,47.2529,-122.4443,WA,Tacoma
7,47.9129,-122.0982,WA,Snohomish
8,45.9046,-122.744,WA,Woodland
9,47.6062,-122.3321,WA,Seattle
10,47.2529,-122.4443,WA,Tacoma
11,47.6588,-117.426,WA,Spokane
12,48.1172,-118.2023,WA,Hunters
13,47.3352,-122.8293,WA,Grapeview
14,47.6769,-122.206,WA,Kirkland
15,47.6062,-122.3321,WA,Seattle
16,46.8646,-122.7696,WA,Thurston County
17,47.0369,-122.9007,WA,Olympia
18,46.1468,-122.9084,WA,Kelso
19,47.1954,-120.9392,WA,Cle Elum
20,47.2529,-122.4443,WA,Tacoma
21,47.1718,-122.5185,WA,Lakewood
22,47.6062,-122.3321,WA,Seattle
23,45.6272,-122.6727,WA,Vancouver
24,47.6588,-117.426,WA,Spokane
25,47.4668,-122.3405,WA,Burien
26,48.0151,-122.0637,WA,Lake Stevens
27,46.6021,-120.5059,WA,Yakima
28,45.6272,-122.6727,WA,Vancouver
29,46.4476,-120.4203,WA,Wapato
30,47.474,-122.261,WA,Tukwila
31,46.1468,-122.9084,WA,Kelso
32,47.0529,-122.2943,WA,Graham
33,47.4157,-120.2931,WA,East Wenatchee
34,47.3073,-122.2285,WA,Auburn
35,47.3223,-122.3126,WA,Federal Way
36,47.6062,-122.3321,WA,Seattle
37,47.3809,-122.2348,WA,Kent
38,47.2909,-122.1958,WA,Muckleshoot Indian Reservation
39,48.0574,-124.3478,WA,Beaver
40,47.2529,-122.4443,WA,Tacoma
41,47.979,-122.2021,WA,Everett
42,45.8157,-122.7029,WA,Ridgefield
43,47.6588,-117.426,WA,Spokane
44,47.4018,-122.3243,WA,Des Moines
45,47.8209,-122.3151,WA,Lynnwood
46,48.0151,-122.0637,WA,Lake Stevens
47,45.6272,-122.6727,WA,Vancouver
48,48.7519,-122.4787,WA,Bellingham
49,47.2393,-122.3571,WA,Fife
50,47.4018,-122.3243,WA,Des Moines
51,47.104,-122.4346,WA,Spanaway
52,47.6062,-122.3321,WA,Seattle
53,45.6262,-122.6727,WA,Vancouver
54,47.3073,-122.2285,WA,Auburn
55,47.4668,-122.3405,WA,Burien
56,47.6062,-122.3321,WA,Seattle
57,47.3809,-122.2348,WA,Kent
58,47.6588,-117.426,WA,Spokane
59,46.2804,-119.2752,WA,Richland
60,47.0343,-122.8232,WA,Lacey
61,47.6249,-122.521,WA,Bainbridge Island
62,47.4235,-120.3103,WA,Wenatchee
63,47.3809,-122.2348,WA,Kent
65,46.2087,-119.1199,WA,Kennewick
66,46.1382,-122.9382,WA,Longview
67,47.2529,-122.4443,WA,Tacoma
68,48.2883,-122.6484,WA,Oak Harbor
69,47.2529,-122.4443,WA,Tacoma
70,47.6588,-117.426,WA,Spokane
71,46.8281,-123.0755,WA,Rochester
72,47.3223,-122.3126,WA,Federal Way
73,46.6021,-120.5059,WA,Yakima
74,47.7007,-117.3663,WA,Hillyard
75,47.6062,-122.3321,WA,Seattle
76,47.565,-122.627,WA,Bremerton
77,47.6769,-122.206,WA,Kirkland
78,46.6021,-120.5059,WA,Yakima
79,46.6021,-120.5059,WA,Yakima
80,47.6588,-117.426,WA,Spokane
81,47.2529,-122.4443,WA,Tacoma
82,47.1854,-122.2929,WA,Puyallup
83,47.9695,-122.1618,WA,Ebey Island
84,47.6062,-122.3321,WA,Seattle
85,47.0532,-122.3976,WA,Elk Plain
86,46.2632,-119.4878,WA,Benton City
87,47.6769,-122.206,WA,Kirkland
88,47.6588,-117.426,WA,Spokane
89,47.3809,-122.2348,WA,Kent Station
90,47.9543,-117.4769,WA,Deer Park
91,47.6588,-117.426,WA,Spokane
92,47.4874,-117.5758,WA,Cheney
93,48.2411,-122.3707,WA,Stanwood
94,46.0646,-118.343,WA,Walla Walla
95,48.0518,-122.1771,WA,Marysville
96,47.2529,-122.4443,WA,Tacoma
97,46.1382,-122.9382,WA,Longview
98,47.104,-122.4346,WA,Spanaway
99,47.8105,-122.2483,WA,Alderwood Manor
100,45.6272,-122.6727,WA,Vancouver
